CODE,Snomed,Loinc,Name,UZ,RU,EN,
cancr0005.00051,,,,EGLN1 (Egl-9 oilasi gipoksiya qo'zg'atuvchi omil 1) gipoksiyaga javobni tartibga solishda ishtirok etadigan ferment,"EGLN1 (Egl-9 Family Hypoxia Inducible Factor 1) Фермент, участвующий в регуляции ответа на гипоксию",EGLN1 (Egl-9 Family Hypoxia Inducible Factor 1) An enzyme involved in the regulation of the response to hypoxia,
cancr0005.00052,,,,ELAC2 (ElaC Ribonuklease Z 2) tRNKdan oldingi ishlov berishda ishtirok etadigan ferment,"ELAC2 (ElaC Ribonuclease Z 2) Фермент, участвующий в обработке пре-тРНК",ELAC2 (ElaC Ribonuclease Z 2) An enzyme involved in the processing of pre-tRNA,
cancr0005.00053,,,,"ELANE (elastaz, neytrofil ifodalangan) hujayradan tashqari matritsa oqsillarining parchalanishida ishtirok etadigan ferment.","ELANE (Elastase, Neutrophil Expressed) Фермент, участвующий в деградации белков внеклеточного матрикса.","ELANE (Elastase, Neutrophil Expressed) An enzyme involved in the degradation of extracellular matrix proteins.",
cancr0005.00054,,,,EPCAM (epitelial hujayra yopishish molekulasi) oqsil hujayra yopishishi va signalizatsiya yo'llarida ishtirok etadi,"EPCAM (Epithelial Cell Adhesion Molecule)Белок, участвующий в клеточной адгезии и сигнальных путях",EPCAM (Epithelial Cell Adhesion Molecule) A protein involved in cell adhesion and signaling pathways,
cancr0005.00055,,,,"ERBB2 (Erb-B2 retseptorlari tirozin kinaz 2, HER2 nomi bilan ham tanilgan) Hujayra o'sishini tartibga solishda ishtirok etadigan tirozin kinaz retseptorlari.","ERBB2 (Erb-B2 Receptor Tyrosine Kinase 2, также известен как HER2) Рецептор тирозинкиназы, участвующий в регуляции клеточного роста.","ERBB2 (Erb-B2 Receptor Tyrosine Kinase 2, also known as HER2) A tyrosine kinase receptor involved in the regulation of cell growth.",
cancr0005.00056,,,,"ERCC1 (ERCC Excision Repair 1, Endonuklease Non-Catalitic Subunit) DNKning nukleotid eksizyonini tiklashda ishtirok etadigan oqsil","ERCC1 (ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit) Белок, участвующий в нуклеотидной эксцизионной репарации ДНК","ERCC1 (ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit) Protein involved in nucleotide excision repair of DNA",
cancr0005.00057,,,,"ERCC2 (ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit, shuningdek XPD nomi bilan tanilgan) Helikaz DNK nukleotid eksizyonini tiklashda ishtirok etadi","ERCC2 (ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit, также известен как XPD) Геликаза, участвующая в нуклеотидной эксцизионной репарации ДНК","ERCC2 (ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit, also known as XPD) Helicase involved in nucleotide excision repair of DNA",
cancr0005.00058,,,,"ERCC3 (ERCC Excision Repair 3, shuningdek XPB nomi bilan ham tanilgan) DNK nukleotid eksizyonini tiklashda ishtirok etgan helikaz.","ERCC3 (ERCC Excision Repair 3, также известен как XPB) Геликаза, участвующая в нуклеотидной эксцизионной репарации ДНК.","ERCC3 (ERCC Excision Repair 3, also known as XPB) Helicase involved in nucleotide excision repair of DNA.",
cancr0005.00059,,,,"ERCC4 (ERCC Excision Repair 4, shuningdek XPF nomi bilan ham tanilgan) DNK nukleotidlarining eksizyonini tiklashda ishtirok etadigan oqsil.","ERCC4 (ERCC Excision Repair 4, также известен как XPF) Белок, участвующий в нуклеотидной эксцизионной репарации ДНК.","ERCC4 (ERCC Excision Repair 4, also known as XPF) Protein involved in nucleotide excision repair of DNA.",
cancr0005.00060,,,,"ERCC5 (ERCC Excision Repair 5, shuningdek, XPG nomi bilan ham tanilgan) DNK nukleotid eksizyonini tiklashda ishtirok etadigan oqsil.","ERCC5 (ERCC Excision Repair 5, также известен как XPG)Белок, участвующий в нуклеотидной эксцизионной репарации ДНК.","ERCC5 (ERCC Excision Repair 5, also known as XPG) Protein involved in nucleotide excision repair of DNA.",
cancr0005.00061,,,,ETV6 (ETS Variant Transkripsiya Faktori 6) Gematopoezni tartibga solishda ishtirok etadigan transkripsiya omili,"ETV6 (ETS Variant Transcription Factor 6) Транскрипционный фактор, участвующий в регуляции гемопоэза",ETV6 (ETS Variant Transcription Factor 6) Transcription factor involved in the regulation of hematopoiesis,
cancr0005.00062,,,,EXT1 (Exostosin Glycosyltransferase 1) Glikosiltransferaza geparan sulfat sintezida ishtirok etadi.,"EXT1 (Exostosin Glycosyltransferase 1) Гликозилтрансфераза, участвующая в синтезе гепарансульфата.",EXT1 (Exostosin Glycosyltransferase 1) Glycosyltransferase involved in the synthesis of heparan sulfate.,
cancr0005.00063,,,,EXT2 (Exostosin Glycosyltransferase 2) Glikosiltransferaza geparan sulfat sintezida ishtirok etadi.,"EXT2 (Exostosin Glycosyltransferase 2) Гликозилтрансфераза, участвующая в синтезе гепарансульфата",EXT2 (Exostosin Glycosyltransferase 2) Glycosyltransferase involved in the synthesis of heparan sulfate,
cancr0005.00064,,,,EZH2 (Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit) Xromatin modifikatsiyasi orqali transkripsiyani tartibga solishda ishtirok etadigan oqsil,"EZH2 (Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit) Белок, участвующий в регуляции транскрипции через модификацию хроматина",EZH2 (Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit) Protein involved in the regulation of transcription through chromatin modification,
cancr0005.00065,,,,FANCA (Fanconi Anemia Complementation Group A) DNKni tiklashda ishtirok etadigan oqsil,"FANCA (Fanconi Anemia Complementation Group A) Белок, участвующий в репарации ДНК",FANCA (Fanconi Anemia Complementation Group A) Protein involved in DNA repair,
cancr0005.00066,,,,FANCB (Fanconi anemiya komplementatsiyasi guruhi B): DNKni tiklashda ishtirok etadigan oqsil,"FANCB (Fanconi Anemia Complementation Group B): Белок, участвующий в репарации ДНК",FANCB (Fanconi Anemia Complementation Group B): Protein involved in DNA repair,
cancr0005.00067,,,,FANCC (Fanconi Anemia Complementation Group C) DNKni tiklashda ishtirok etadigan oqsil,"FANCC (Fanconi Anemia Complementation Group C) Белок, участвующий в репарации ДНК",FANCC (Fanconi Anemia Complementation Group C) Protein involved in DNA repair,
cancr0005.00068,,,,FANCD2 (Fanconi anemiya komplementatsiyasi guruhi D2) DNKni tiklashda ishtirok etadigan oqsil,"FANCD2 (Fanconi Anemia Complementation Group D2) Белок, участвующий в репарации ДНК",FANCD2 (Fanconi Anemia Complementation Group D2) Protein involved in DNA repair,
cancr0005.00069,,,,FANCE (Fanconi Anemia Complementation Group E) DNKni tiklashda ishtirok etadigan oqsil,"FANCE (Fanconi Anemia Complementation Group E) Белок, участвующий в репарации ДНК",FANCE (Fanconi Anemia Complementation Group E) Protein involved in DNA repair,
cancr0005.00070,,,,FANCF (Fanconi Anemia Complementation Group F) DNKni tiklashda ishtirok etadigan oqsil,"FANCF (Fanconi Anemia Complementation Group F) Белок, участвующий в репарации ДНК",FANCF (Fanconi Anemia Complementation Group F) Protein involved in DNA repair,
cancr0005.00071,,,,FANCG (Fanconi Anemia Complementation Group G) DNKni tiklashda ishtirok etadigan oqsil,"FANCG (Fanconi Anemia Complementation Group G) Белок, участвующий в репарации ДНК",FANCG (Fanconi Anemia Complementation Group G) Protein involved in DNA repair,
cancr0005.00072,,,,FANCI (Fanconi Anemia Complementation Group I) DNKni tiklashda ishtirok etadigan oqsil,"FANCI (Fanconi Anemia Complementation Group I) Белок, участвующий в репарации ДНК",FANCI (Fanconi Anemia Complementation Group I) Protein involved in DNA repair,
cancr0005.00073,,,,FANCL (Fanconi Anemia Complementation Group L) DNKni tiklashda ishtirok etadigan oqsil,"FANCL (Fanconi Anemia Complementation Group L)Белок, участвующий в репарации ДНК",FANCL (Fanconi Anemia Complementation Group L) Protein involved in DNA repair,
cancr0005.00074,,,,FANCM (Fanconi Anemia Complementation Group M) DNKni tiklashda ishtirok etadigan oqsil,"FANCM (Fanconi Anemia Complementation Group M) Белок, участвующий в репарации ДНК",FANCM (Fanconi Anemia Complementation Group M) Protein involved in DNA repair,
cancr0005.00075,,,,Apoptozni tartibga soluvchi FAS (Fas Cell Surface Death Receptor) retseptorlari,"FAS (Fas Cell Surface Death Receptor) Рецептор, регулирующий апоптоз",FAS (Fas Cell Surface Death Receptor) Receptor regulating apoptosis,
cancr0005.00076,,,,FASLG (Fas Ligand) Fas retseptorlari ligand apoptozni qo'zg'atishda ishtirok etadi.,"FASLG (Fas Ligand) Лиганд рецептора Fas, участвующий в индукции апоптоза",FASLG (Fas Ligand) Fas receptor ligand involved in apoptosis induction,
cancr0005.00077,,,,FH (Fumarat gidrataz) Limon kislotasi aylanishida ishtirok etadigan ferment.,"FH (Fumarate Hydratase) Фермент, участвующий в цикле лимонной кислоты.",FH (Fumarate Hydratase) Enzyme involved in the citric acid cycle.,
cancr0005.00078,,,,FLCN (Follikulin) O'simtani bostiruvchi oqsil,FLCN (Folliculin) Белок-супрессор опухолей,FLCN (Folliculin) Tumor suppressor protein,
cancr0005.00079,,,,GALNT12 (polipeptid N-asetilgalaktozaminiltransferaza 12) glikosiltransferaza O-glikozillanishda ishtirok etadi,"GALNT12 (Polypeptide N-Acetylgalactosaminyltransferase 12)Гликозилтрансфераза, участвующая в O-гликозилировании",GALNT12 (Polypeptide N-Acetylgalactosaminyltransferase 12) Glycosyltransferase involved in O-glycosylation,
cancr0005.00080,,,,GATA2 (GATA bog'lovchi oqsil 2) gematopoezni tartibga solishda ishtirok etadigan transkripsiya omili,"GATA2 (GATA Binding Protein 2) Транскрипционный фактор, участвующий в регуляции гемопоэза",GATA2 (GATA Binding Protein 2) Transcription factor involved in the regulation of hematopoiesis,
cancr0005.00081,,,,GEN1 (GEN1 Holliday Junction 5' Flap Endonuklease) oqsili DNKni tiklashda ishtirok etadi,"GEN1 (GEN1 Holliday Junction 5' Flap Endonuclease) Белок, участвующий в репарации ДНК",GEN1 (GEN1 Holliday Junction 5' Flap Endonuclease) Protein involved in DNA repair,
cancr0005.00082,,,,GNAS (GNAS Complex Locus) G protein signalizatsiya yo'llarida ishtirok etadigan oqsil.,"GNAS (GNAS Complex Locus) Белок, участвующий в сигнальных путях G-белков.",GNAS (GNAS Complex Locus) Protein involved in G-protein signaling pathways.,
cancr0005.00083,,,,GPC3 (Glypican 3) Proteoglikan hujayra o'sishini tartibga solishda ishtirok etadi,"GPC3 (Glypican 3) Протеогликан, участвующий в регуляции роста клеток",GPC3 (Glypican 3) Proteoglycan involved in the regulation of cell growth,
cancr0005.00084,,,,"GREM1 (Gremlin 1, DAN oilasi BMP antagonisti) Suyak morfogenezini tartibga solishda ishtirok etadigan oqsil","GREM1 (Gremlin 1, DAN Family BMP Antagonist) Белок, участвующий в регуляции костной морфогенезы","GREM1 (Gremlin 1, DAN Family BMP Antagonist) Protein involved in the regulation of bone morphogenesis",
cancr0005.00085,,,,HNF1A (gepatotsit yadro omili 1 alfa) glyukoza metabolizmini tartibga solishda ishtirok etadigan transkripsiya omili,"HNF1A (Hepatocyte Nuclear Factor 1 Alpha) Транскрипционный фактор, участвующий в регуляции глюкозного метаболизма",HNF1A (Hepatocyte Nuclear Factor 1 Alpha) Transcription factor involved in the regulation of glucose metabolism,
cancr0005.00086,,,,HNF1B (gepatotsit yadro omili 1 beta) glyukoza metabolizmini va organlar rivojlanishini tartibga solishda ishtirok etadigan transkripsiya omili,"HNF1B (Hepatocyte Nuclear Factor 1 Beta) Транскрипционный фактор, участвующий в регуляции глюкозного метаболизма и развития органов",HNF1B (Hepatocyte Nuclear Factor 1 Beta) Transcription factor involved in the regulation of glucose metabolism and organ development,
cancr0005.00087,,,,HOXB13 (Homeobox B13) Prostata rivojlanishida ishtirok etadigan transkripsiya omili,"HOXB13 (Homeobox B13) Транскрипционный фактор, участвующий в развитии предстательной железы",HOXB13 (Homeobox B13) Transcription factor involved in the development of the prostate gland,
cancr0005.00088,,,,"HER2 (inson epidermal o'sish omili retseptorlari 2, shuningdek, ERBB2 sifatida ham tanilgan) Hujayra o'sishini tartibga solishda ishtirok etadigan tirozin kinaz retseptorlari.","HER2 (Human Epidermal Growth Factor Receptor 2, также известен как ERBB2) Рецептор тирозинкиназы, участвующий в регуляции клеточного роста.","HER2 (Human Epidermal Growth Factor Receptor 2, also known as ERBB2) Tyrosine kinase receptor involved in the regulation of cell growth.",
cancr0005.00089,,,,"HRAS (HRas Proto-Oncogene, GTPase) oqsil hujayra o'sishi va differentsiatsiyasining signalizatsiya yo'llarida ishtirok etadi","HRAS (HRas Proto-Oncogene, GTPase)Белок, участвующий в сигнальных путях клеточного роста и дифференцировки","HRAS (HRas Proto-Oncogene, GTPase) A protein involved in signaling pathways of cell growth and differentiation",
cancr0005.00090,,,,IFNGR1 (Interferon Gamma Receptor 1) Immunitetni tartibga solish va virusga qarshi mudofaa bilan shug'ullanadigan interferon gamma retseptorlari,"IFNGR1 (Interferon Gamma Receptor 1)Рецептор интерферона гамма, участвующий в иммунной регуляции и антивирусной защите",IFNGR1 (Interferon Gamma Receptor 1) An interferon gamma receptor involved in immune regulation and antiviral protection,
cancr0005.00091,,,,IKZF1 (IKAROS Family Sinc Finger 1) Limfotsitlar rivojlanishini tartibga soluvchi transkripsiya omili.,"IKZF1 (IKAROS Family Zinc Finger 1)Транскрипционный фактор, регулирующий развитие лимфоцитов.",IKZF1 (IKAROS Family Zinc Finger 1) A transcription factor that regulates the development of lymphocytes.,
cancr0005.00092,,,,JAK2 (Janus Kinase 2) tirozin kinaz sitokinlardan hujayra yadrosiga signal uzatishda ishtirok etadi,"JAK2 (Janus Kinase 2)Тирозинкиназа, участвующая в передаче сигнала от цитокинов к ядру клетки",JAK2 (Janus Kinase 2) A tyrosine kinase involved in signaling from cytokines to the cell nucleus,
cancr0005.00093,,,,"JAK3 (Janus Kinase 3) Tirozin kinaz sitokinlardan hujayra yadrosiga, ayniqsa immun hujayralarida signal o'tkazishda ishtirok etadi.","JAK3 (Janus Kinase 3) Тирозинкиназа, участвующая в передаче сигнала от цитокинов к ядру клетки, особенно в иммунных клетках","JAK3 (Janus Kinase 3) A tyrosine kinase involved in signaling from cytokines to the cell nucleus, especially in immune cells",
cancr0005.00094,,,,"KDR (Kinase Insert Domain Receptor, VEGFR2 nomi bilan ham tanilgan) Angiogenezda ishtirok etadigan tomir endotelial o'sish omili (VEGF) uchun tirozin kinaz retseptorlari","KDR (Kinase Insert Domain Receptor, также известен как VEGFR2) Рецептор тирозинкиназы для сосудистого эндотелиального фактора роста (VEGF), участвующий в ангиогенезе","KDR (Kinase Insert Domain Receptor, also known as VEGFR2) A tyrosine kinase receptor for vascular endothelial growth factor (VEGF), involved in angiogenesis",
cancr0005.00095,,,,KIF1B (Kinesin oilasi a'zosi 1B) Organellalarni mikronaychalar bo'ylab tashishda ishtirok etadigan oqsil.,"KIF1B (Kinesin Family Member 1B)Белок, участвующий в транспортировке органелл вдоль микротрубочек.",KIF1B (Kinesin Family Member 1B) A protein involved in the transport of organelles along microtubules.,
cancr0005.00096,,,,"KIT (KIT proto-onkogen, retseptor tirozin kinaz) hujayra o'sishi va differentsiatsiyasini tartibga solishda ishtirok etadigan retseptor tirozin kinaz","KIT (KIT Proto-Oncogene, Receptor Tyrosine Kinase) Рецептор тирозинкиназы, участвующий в регуляции клеточного роста и дифференцировки","KIT (KIT Proto-Oncogene, Receptor Tyrosine Kinase) Tyrosine kinase receptor involved in the regulation of cell growth and differentiation",
cancr0005.00097,,,,"KRAS (KRAS proto-onkogen, GTPaz) oqsili hujayra o'sishi signalizatsiya yo'llarida ishtirok etadi","KRAS (KRAS Proto-Oncogene, GTPase) Белок, участвующий в сигнальных путях клеточного роста","KRAS (KRAS Proto-Oncogene, GTPase) Protein involved in cell growth signaling pathways",
cancr0005.00098,,,,LIG4 (DNK Ligase IV) Ligaza ikki zanjirli DNK uzilishlarini tiklashda ishtirok etadi,"LIG4 (DNA Ligase IV) Лигаза, участвующая в репарации двухцепочечных разрывов ДНК",LIG4 (DNA Ligase IV) Ligase involved in the repair of double-strand DNA breaks,
cancr0005.00099,,,,LZTR1 (Leucine Zipper Like Transkripsiya regulyatori 1) Hujayra o'sishi va apoptozni tartibga solishda ishtirok etadigan oqsil,"LZTR1 (Leucine Zipper Like Transcription Regulator 1) Белок, участвующий в регуляции клеточного роста и апоптоза",LZTR1 (Leucine Zipper Like Transcription Regulator 1) Protein involved in the regulation of cell growth and apoptosis,
cancr0005.00100,,,,MAX (MYC Associated Factor X) Hujayra o'sishi va apoptozni tartibga solishda ishtirok etadigan transkripsiya omili.,"MAX (MYC Associated Factor X) Транскрипционный фактор, участвующий в регуляции клеточного роста и апоптоза.",MAX (MYC Associated Factor X) Transcription factor involved in the regulation of cell growth and apoptosis.,
cancr0005.00101,,,,MC1R (Melanokortin 1 retseptorlari) teri pigmentatsiyasini tartibga solishda ishtirok etadigan retseptorlari,"MC1R (Melanocortin 1 Receptor) Рецептор, участвующий в регуляции пигментации кожи",MC1R (Melanocortin 1 Receptor) Receptor involved in the regulation of skin pigmentation,
cancr0005.00102,,,,MEN1 (Menin 1) Hujayra o'sishini tartibga solishda ishtirok etadigan o'simta bostiruvchi oqsil.,"MEN1 (Menin 1)Белок-супрессор опухолей, участвующий в регуляции клеточного роста.",MEN1 (Menin 1) Tumor suppressor protein involved in the regulation of cell growth.,
cancr0005.00103,,,,"MET (MET proto-onkogen, retseptor tirozin kinaz) hujayra o'sishi, yashashi va migratsiyasini tartibga solishda ishtirok etadigan retseptor tirozin kinaz","MET (MET Proto-Oncogene, Receptor Tyrosine Kinase) Рецептор тирозинкиназы, участвующий в регуляции клеточного роста, выживания и миграции","MET (MET Proto-Oncogene, Receptor Tyrosine Kinase) A tyrosine kinase receptor involved in the regulation of cell growth, survival, and migration",
cancr0005.00104,,,,MITF (Mikroftalmiya bilan bog'liq transkripsiya omili) melanotsitlar rivojlanishida ishtirok etadigan transkripsiya omili,"MITF (Microphthalmia Associated Transcription Factor)Транскрипционный фактор, участвующий в развитии меланоцитов",MITF (Microphthalmia Associated Transcription Factor) A transcription factor involved in the development of melanocytes,
cancr0005.00105,,,,MLH1 (MutL Homolog 1) DNK nomuvofiqligini tuzatishda ishtirok etadigan oqsil,"MLH1 (MutL Homolog 1)Белок, участвующий в репарации несоответствий ДНК",MLH1 (MutL Homolog 1) A protein involved in the repair of DNA mismatches,
cancr0005.00106,,,,MLH3 (MutL Homolog 3) DNK nomuvofiqligini tuzatishda ishtirok etadigan oqsil,"MLH3 (MutL Homolog 3)Белок, участвующий в репарации несоответствий ДНК",MLH3 (MutL Homolog 3) A protein involved in the repair of DNA mismatches,
cancr0005.00107,,,,"MRE11 (MRE11 homologi, ikki zanjirli uzilishni tiklovchi nukleaz) Ikki zanjirli DNK uzilishlarini tiklash va genomik barqarorlikni saqlashda ishtirok etadigan oqsil.","MRE11 (MRE11 Homolog, Double Strand Break Repair Nuclease) Белок, участвующий в репарации двухцепочечных разрывов ДНК и поддержании геномной стабильности","MRE11 (MRE11 Homolog, Double Strand Break Repair Nuclease) A protein involved in the repair of double-strand DNA breaks and the maintenance of genomic stability",
cancr0005.00108,,,,MSH2 (MutS Homolog 2) DNK nomuvofiqligini tiklashda ishtirok etadigan oqsil.,"MSH2 (MutS Homolog 2)Белок, участвующий в репарации несоответствий ДНК.",MSH2 (MutS Homolog 2) A protein involved in the repair of DNA mismatches.,
cancr0005.00109,,,,MSH3 (MutS Homolog 3) DNK nomuvofiqligini tuzatishda ishtirok etadigan oqsil,"MSH3 (MutS Homolog 3) Белок, участвующий в репарации несоответствий ДНК",MSH3 (MutS Homolog 3) A protein involved in DNA mismatch repair,
cancr0005.00110,,,,MSH6 (MutS Homolog 6) DNK nomuvofiqligini tuzatishda ishtirok etadigan oqsil,"MSH6 (MutS Homolog 6) Белок, участвующий в репарации несоответствий ДНК",MSH6 (MutS Homolog 6) A protein involved in DNA mismatch repair,
cancr0005.00111,,,,MSR1 (Makrofaglarni tozalash retseptorlari 1) immun javob va oksidlangan lipidlarni tozalashda ishtirok etadigan oqsil.,"MSR1 (Macrophage Scavenger Receptor 1) Белок, участвующий в иммунном ответе и очистке окисленных липидов.",MSR1 (Macrophage Scavenger Receptor 1) A protein involved in the immune response and clearance of oxidized lipids.,
cancr0005.00112,,,,MUTYH (MutY DNK glycosylase) DNKning bazal eksizyonini tiklashda ishtirok etadigan oqsil.,"MUTYH (MutY DNA Glycosylase) Белок, участвующий в базовой эксцизионной репарации ДНК.",MUTYH (MutY DNA Glycosylase) A protein involved in base excision repair of DNA. ,
cancr0005.00113,,,,NBN (Nibrin) oqsili DNKni tiklashda ishtirok etadi,"NBN (Nibrin) Белок, участвующий в репарации ДНК",NBN (Nibrin) Protein involved in DNA repair,
cancr0005.00114,,,,NF1 (neyrofibromin 1) Ras signalizatsiyasini tartibga soluvchi o'simta bostiruvchi oqsil,"NF1 (Neurofibromin 1) Белок-супрессор опухолей, регулирующий сигналинг Ras",NF1 (Neurofibromin 1) Tumor suppressor protein that regulates Ras signaling,
cancr0005.00115,,,,"NF2 (neyrofibromin 2, Merlin) Hujayra shakli va harakatini tartibga soluvchi o'simta bostiruvchi oqsil","NF2 (Neurofibromin 2, Merlin) Белок-супрессор опухолей, регулирующий клеточную форму и движение","NF2 (Neurofibromin 2, Merlin) Tumor suppressor protein that regulates cell shape and movement",
cancr0005.00116,,,,NHEJ1 (Gomolog bo'lmagan oxirgi qo'shilish omili) ikki zanjirli DNK uzilishlarini tiklash jarayonida gomologik bo'lmagan rekombinatsiyada ishtirok etadigan oqsil,"NHEJ1 (Non-Homologous End-Joining Factor 1) Белок, участвующий в негомологичной рекомбинации при репарации двухцепочечных разрывов ДНК",NHEJ1 (Non-Homologous End-Joining Factor 1) Protein involved in non-homologous recombination during repair of double-strand DNA breaks,
cancr0005.00117,,,,NHP2 (NHP2 Ribonukleoprotein) Protein ribosoma biogenezi va telomerlarda ishtirok etadi.,"NHP2 (NHP2 Ribonucleoprotein) Белок, участвующий в биогенезе рибосом и теломерах",NHP2 (NHP2 Ribonucleoprotein) Protein involved in ribosome biogenesis and telomeres,
cancr0005.00118,,,,NOP10 (NOP10 Ribonukleoprotein) Protein ribosoma biogenezi va telomerlarda ishtirok etadi,"NOP10 (NOP10 Ribonucleoprotein) Белок, участвующий в биогенезе рибосом и теломерах",NOP10 (NOP10 Ribonucleoprotein) Protein involved in ribosome biogenesis and telomeres,
cancr0005.00119,,,,"NRAS (NRAS proto-onkogen, GTPaz) oqsil hujayra o'sishi signalizatsiya yo'llarida ishtirok etadi","NRAS (NRAS Proto-Oncogene, GTPase) Белок, участвующий в сигнальных путях клеточного роста","NRAS (NRAS Proto-Oncogene, GTPase) Protein involved in cell growth signaling pathways",
cancr0005.00120,,,,NSD1 (Nuclear Receptor Binding SET Domain Protein 1) transkripsiyani tartibga solishda ishtirok etadigan histon metiltransferaza,"NSD1 (Nuclear Receptor Binding SET Domain Protein 1) Гистонметилтрансфераза, участвующая в регуляции транскрипции",NSD1 (Nuclear Receptor Binding SET Domain Protein 1) Histone methyltransferase involved in transcription regulation,
cancr0005.00121,,,,NTHL1 (DNK glikozilaza 1 kabi N) DNKning bazal eksizyonini tiklashda ishtirok etadigan oqsil,"NTHL1 (Nth Like DNA Glycosylase 1)Белок, участвующий в базовой эксцизионной репарации ДНК",NTHL1 (Nth Like DNA Glycosylase 1) Protein involved in DNA base excision repair,
cancr0005.00122,,,,PALB2 (BRCA2 hamkori va lokalizatori) BRCA2 bilan o'zaro ta'sir qiluvchi va DNKni tiklashda ishtirok etadigan oqsil,"PALB2 (Partner And Localizer Of BRCA2) Белок, взаимодействующий с BRCA2 и участвующий в репарации ДНК",PALB2 (Partner And Localizer Of BRCA2) Protein interacting with BRCA2 and involved in DNA repair,
cancr0005.00123,,,,PALLD (Palladin) Hujayra shakli va harakatini tartibga solishda ishtirok etadigan sitoskeletal oqsil.,"PALLD (Palladin) Цитоскелетный белок, участвующий в регуляции клеточной формы и подвижности.",PALLD (Palladin) Cytoskeletal protein involved in the regulation of cell shape and motility.,
cancr0005.00124,,,,PARN (Poli(A)-maxsus ribonukleaza) mRNKni qayta ishlashda ishtirok etadigan oqsil,"PARN (Poly(A)-Specific Ribonuclease) Белок, участвующий в процессинге мРНК",PARN (Poly(A)-Specific Ribonuclease) A protein involved in mRNA processing,
cancr0005.00125,, , ,PAX5 (Paired Box 5) B hujayralari rivojlanishida ishtirok etadigan transkripsiya omili,"PAX5 (Paired Box 5) Транскрипционный фактор, участвующий в развитии B-клеток",PAX5 (Paired Box 5) A transcription factor involved in B-cell development,
cancr0005.00126,,,,PDGFRA (trombotsitlardan olingan o'sish omili retseptorlari alfa) hujayra o'sishi va rivojlanishini tartibga solishda ishtirok etadigan tirozin kinaz retseptorlari,"PDGFRA (Platelet-Derived Growth Factor Receptor Alpha) Рецептор тирозинкиназы, участвующий в регуляции клеточного роста и развития",PDGFRA (Platelet-Derived Growth Factor Receptor Alpha) A tyrosine kinase receptor involved in the regulation of cell growth and development,
cancr0005.00127,,,,PDGFRB (trombotsitlardan olingan o'sish omili retseptorlari beta) hujayra o'sishi va rivojlanishini tartibga solishda ishtirok etadigan retseptor tirozin kinaz,"PDGFRB (Platelet-Derived Growth Factor Receptor Beta) Рецептор тирозинкиназы, участвующий в регуляции клеточного роста и развития",PDGFRB (Platelet-Derived Growth Factor Receptor Beta) A tyrosine kinase receptor involved in the regulation of cell growth and development,
cancr0005.00128,,,,PHOX2B (Homeobox 2b kabi juftlangan) Neyrorivojlanish uchun muhim transkripsiya omili.,"PHOX2B (Paired Like Homeobox 2b) Транскрипционный фактор, важный для развития нервной системы.",PHOX2B (Paired Like Homeobox 2b) A transcription factor important for the development of the nervous system.,
cancr0005.00129,,,,"PIK3CA (Fosfatidilinositol-4,5-Bisfosfat 3-Kinaz Katalitik Subunit Alpha) PI3K ning katalitik bo'linmasi hujayra o'sishi signalizatsiyasida ishtirok etadi","PIK3CA (Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha) Каталитическая субъединица PI3K, участвующая в сигнализации клеточного роста","PIK3CA (Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha) The catalytic subunit of PI3K involved in cell growth signaling",
cancr0005.00130,,,,"PIK3CD (Fosfatidilinositol-4,5-Bisfosfat 3-Kinaz Katalitik Subunit Delta) PI3K ning katalitik subuniti immun javobini tartibga solishda ishtirok etadi.","PIK3CD (Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta) Каталитическая субъединица PI3K, участвующая в регуляции иммунного ответа.","PIK3CD (Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta) The catalytic subunit of PI3K involved in regulating the immune response.",
cancr0005.00131,,,,PIK3R1 (Fosfoinositid-3-Kinaz regulatory subunit 1) Hujayra o'sishi signalizatsiyasida ishtirok etadigan PI3K ning tartibga soluvchi subbirligi,"PIK3R1 (Phosphoinositide-3-Kinase Regulatory Subunit 1) Регуляторная субъединица PI3K, участвующая в сигнализации клеточного роста",PIK3R1 (Phosphoinositide-3-Kinase Regulatory Subunit 1) The regulatory subunit of PI3K involved in cell growth signaling,
cancr0005.00132,,,,"PMS1 (PMS1 homologi 1, nomuvofiqlikni tiklash tizimining komponenti) DNK nomuvofiqligini tuzatishda ishtirok etadigan oqsil.","PMS1 (PMS1 Homolog 1, Mismatch Repair System Component) Белок, участвующий в репарации несоответствий ДНК.","PMS1 (PMS1 Homolog 1, Mismatch Repair System Component) A protein involved in DNA mismatch repair.",
